"LANDING_YEAR","mtons"
1984,3.05596256650946
1985,NA
1986,0.0768549675862438
1987,0.142424874512083
1988,0.279611165379406
1989,1.80429755365569
1990,1.2785717040316
1991,49.3893438324606
1992,5.93202241570034
1993,4.74420066505532
1994,19.1696905024044
1995,9.29214297910089
1996,11.5847022380638
1997,18.9508870683727
1998,11.868697963373
1999,8.17837930012711
2000,6.28335202330456
2001,12.0575700615827
2002,4.74029465188015
2003,1.92803972953884
2004,1.89256880617509
2005,4.82576922847684
2006,4.16216359061035
2007,6.52946217162554
2008,6.26639220457604
2009,1.13155420676941
2010,0.871473413440709
2011,0.937053798350305
2012,1.60036006525235
2013,0.670137367999971
2014,0.447967824987662
2015,1.09267680470411
2016,0.963571642932703
2017,2.53804872962793
2018,2.62522481058459
2019,3.86347301471487
2020,4.2081351773484
2021,4.74169588262684
2022,1.31834354489205
2023,0.580098012420829
2024,NA
