Year,OFLsouth,ABCsouth,ACLsouth,OFLnorth,ABCnorth,ACLnorth
2015,5.385187898,4.491246707,4.491246707,7.374230102,6.150107905,6.150107905
2016,5.385187898,4.491246707,4.491246707,7.374230102,6.150107905,6.150107905
2017,5.385187898,4.491246707,4.491246707,7.374230102,6.150107905,6.150107905
2018,5.385187898,4.491246707,4.491246707,7.374230102,6.150107905,6.150107905
2019,5.385187898,4.491246707,4.491246707,7.374230102,6.150107905,6.150107905
2020,5.385187898,4.491246707,4.491246707,7.374230102,6.150107905,6.150107905
2021,5.3852,4.1896856,4.1896856,7.37,5.73386,5.73386
2022,5.3852,4.1896856,4.1896856,7.3742,5.7371276,5.7371276
2023,1.06344,0.9294466,0.88704,1.04656,0.9146934,0.87296
2024,1.16928,1.0114272,0.97272,1.15072,0.9953728,0.95728
