" ","Base","Dirichlet","McAllister-Ianelli","Index Extra SD","Remove fleet lengths","Remove ages","Remove indices"
"Npar","121","127","121","124","121","121","121"
"TOTAL_like","668.238","3459.920","732.540","663.147","523.152","146.259","693.216"
"Survey_like","-26.349","-27.104","-27.019","-30.498","-26.971","-26.817","0.000"
"Length_comp_like","174.184","1990.460","302.462","174.371","39.883","165.269","174.457"
"Age_comp_like","500.121","1444.480","434.361","500.125","495.365","0.000","500.451"
"Parm_priors_like","0.000719","17.918","0.000719","0.000719","0.000719","0.000719","0.000719"
"Recr_Virgin_thousands","45.520","45.267","45.623","44.591","43.495","41.789","42.019"
"SR_LN(R0)","3.818","3.813","3.820","3.798","3.773","3.733","3.738"
"SR_BH_steep","0.720","0.720","0.720","0.720","0.720","0.720","0.720"
"NatM_uniform_Fem_GP_1","0.068","0.068","0.068","0.068","0.068","0.068","0.068"
"L_at_Amax_Fem_GP_1","42.749","43.070","42.846","42.759","41.614","43.850","42.759"
"VonBert_K_Fem_GP_1","0.126","0.121","0.125","0.127","0.146","0.134","0.128"
"SSB_Virgin","97.832","98.635","99.195","96.296","87.966","107.007","91.196"
"SSB_2025","45.426","48.566","44.879","44.314","43.099","30.822","39.403"
"Bratio_2025","0.464","0.492","0.452","0.460","0.490","0.288","0.432"
"SPRratio_2024","0.0919","0.0881","0.0942","0.0935","0.093","0.142","0.104"
